Item_name,Date,p10,p50,p90,mean
2,2018-04-25 00:00:00,15105.59165656779,19858.982746281174,25603.17340643866,19970.68149220537
0,2018-04-26 00:00:00,15112.647226004434,20955.597660970856,28766.624565684004,21640.814831073712
1,2018-04-26 00:00:00,13151.501387020704,16306.872116282168,21071.920066789826,16749.363345726553
2,2018-04-26 00:00:00,14363.841284296694,19554.141233177263,26289.314824401354,20102.71808602731
0,2018-04-27 00:00:00,14295.954189404749,19768.338276252154,24658.82655352076,19643.7763720706
1,2018-04-27 00:00:00,11921.071819031438,15770.69864843239,19679.651777273837,15869.337146692227
2,2018-04-27 00:00:00,13828.374792439918,18790.349969442723,23120.913179759857,18597.817587060432
0,2018-04-28 00:00:00,14342.166749400341,19548.888194972176,24524.938062120433,19375.380786409092
1,2018-04-28 00:00:00,11243.964239177889,15468.43516659034,19482.468176627146,15412.31595718495
2,2018-04-28 00:00:00,13577.681576918592,18299.272823915955,23256.137053841234,18157.459384135036
0,2018-04-29 00:00:00,14151.366964449986,19210.789117449385,24521.732137206498,19286.343769907355
1,2018-04-29 00:00:00,10241.46251726664,14291.875626347704,17592.159209592523,14062.849266679665
2,2018-04-29 00:00:00,13277.526013695031,17342.659792568695,22781.067089410666,17699.559676039884
0,2018-04-30 00:00:00,11867.438503999098,17332.96616116369,22104.04735128155,17114.715049750343
1,2018-04-30 00:00:00,10074.0632889224,13504.258259513797,16616.56955061503,13409.379005998739
2,2018-04-30 00:00:00,12956.744987047086,17601.184162235797,22320.11007562565,17541.022730175628
0,2018-05-01 00:00:00,11984.511402851505,17520.18892277725,22789.178474940512,17521.319008076225
1,2018-05-01 00:00:00,9380.481488504867,12847.753270255314,16339.470910891683,12849.929341599593
2,2018-05-01 00:00:00,12536.729740830184,16915.115067710874,21035.950901166027,16765.454584467738
0,2018-05-02 00:00:00,12680.039736072558,17906.38280169046,23014.01062620869,17962.771584893366
1,2018-05-02 00:00:00,9439.230085652665,12732.853977045053,16598.107684095015,12906.663599852094
2,2018-05-02 00:00:00,11559.36794399724,16207.836243223985,20459.81239548418,16185.016745115783
0,2018-05-03 00:00:00,13420.666354092175,18312.315925392693,26698.795062988673,19516.538985309344
1,2018-05-03 00:00:00,9527.900981104389,13341.326541628916,18691.650121579776,13753.84365617438
2,2018-05-03 00:00:00,12970.595455063085,17826.43573173449,24551.94040214757,18279.64335332732
